,train,val,test
656653,True,False,False
725518,True,False,False
1009636,True,False,False
885977,True,False,False
849293,True,False,False
811303,True,False,False
799700,True,False,False
851072,True,False,False
1014227,True,False,False
704898,True,False,False
827866,True,False,False
827645,True,False,False
783419,True,False,False
830272,True,False,False
918244,True,False,False
857489,True,False,False
839219,True,False,False
1008362,True,False,False
780706,True,False,False
1003672,True,False,False
796053,True,False,False
852684,True,False,False
798199,True,False,False
903026,True,False,False
998559,True,False,False
791062,True,False,False
968493,True,False,False
789390,True,False,False
972944,True,False,False
923997,True,False,False
887299,True,False,False
981680,True,False,False
897093,True,False,False
901890,True,False,False
772698,True,False,False
765345,True,False,False
814328,True,False,False
921083,True,False,False
978284,True,False,False
H275050,True,False,False
H227571,True,False,False
P039350,True,False,False
721854,True,False,False
793399,True,False,False
763168,True,False,False
909779,True,False,False
889652,True,False,False
861764,True,False,False
851458,True,False,False
1010733,True,False,False
888175,True,False,False
863768,True,False,False
848464,True,False,False
892660,True,False,False
886428,True,False,False
877131,True,False,False
850226,True,False,False
1013936,True,False,False
870601,True,False,False
861273,True,False,False
847183,True,False,False
881374,True,False,False
867054,True,False,False
810896,True,False,False
851455,True,False,False
865470,True,False,False
836574,True,False,False
1008875,True,False,False
1010557,True,False,False
829173,True,False,False
848350,True,False,False
834676,True,False,False
868773,True,False,False
1000243,True,False,False
1003010,True,False,False
962315,True,False,False
1006443,True,False,False
920446,True,False,False
P042620,True,False,False
P040265,True,False,False
P037389,True,False,False
P042000,True,False,False
P034544,True,False,False
P044024,True,False,False
P035798,True,False,False
P015155,True,False,False
944078,True,False,False
887991,True,False,False
880932,True,False,False
974447,True,False,False
884292,True,False,False
1005979,True,False,False
980232,True,False,False
951252,True,False,False
878011,True,False,False
968212,True,False,False
938584,True,False,False
983300,True,False,False
997984,True,False,False
893630,True,False,False
922982,True,False,False
904782,True,False,False
878363,True,False,False
P018437,True,False,False
P043600,True,False,False
916007,True,False,False
1008241,True,False,False
985765,True,False,False
997278,True,False,False
997767,True,False,False
966745,True,False,False
936937,True,False,False
990241,True,False,False
936440,True,False,False
1007647,True,False,False
922392,True,False,False
917948,True,False,False
948316,True,False,False
978425,True,False,False
990924,True,False,False
916648,True,False,False
977805,True,False,False
927576,True,False,False
973948,True,False,False
P016026,True,False,False
P036652,True,False,False
P023486,True,False,False
P034827,True,False,False
P038207,True,False,False
929545,True,False,False
965061,True,False,False
938687,True,False,False
983299,True,False,False
883494,True,False,False
835990,True,False,False
H206919,True,False,False
H246967,True,False,False
H292434,True,False,False
952492,True,False,False
981679,True,False,False
985448,True,False,False
949652,True,False,False
944642,True,False,False
980120,True,False,False
979539,True,False,False
982478,True,False,False
979534,True,False,False
984533,True,False,False
991784,True,False,False
P039603,True,False,False
938686,True,False,False
927577,True,False,False
1007869,True,False,False
932285,True,False,False
916205,True,False,False
1009351,True,False,False
1004878,True,False,False
949875,True,False,False
949278,True,False,False
944866,True,False,False
954136,True,False,False
924871,True,False,False
940759,True,False,False
938323,True,False,False
1009801,True,False,False
916802,True,False,False
1005003,True,False,False
931363,True,False,False
943889,True,False,False
934149,True,False,False
929928,True,False,False
919393,True,False,False
1009525,True,False,False
1000052,True,False,False
934859,True,False,False
1008867,True,False,False
927219,True,False,False
1007475,True,False,False
940429,True,False,False
1006514,True,False,False
1006975,True,False,False
1007542,True,False,False
1008741,True,False,False
1008477,True,False,False
1004459,True,False,False
1009805,True,False,False
1005470,True,False,False
1005791,True,False,False
1011549,True,False,False
1009757,True,False,False
1003486,True,False,False
1009676,True,False,False
1006916,True,False,False
1003662,True,False,False
1011035,True,False,False
1003509,True,False,False
1010983,True,False,False
1010937,True,False,False
1006705,True,False,False
P045266,True,False,False
P046093,True,False,False
1011116,True,False,False
1008742,True,False,False
1009119,True,False,False
835505,True,False,False
831693,True,False,False
828460,True,False,False
1001980,True,False,False
840820,True,False,False
826524,True,False,False
850896,True,False,False
1011957,True,False,False
826983,True,False,False
847101,True,False,False
843113,True,False,False
837858,True,False,False
840830,True,False,False
820835,True,False,False
830019,True,False,False
1000559,True,False,False
1002020,True,False,False
1009006,True,False,False
1006229,True,False,False
1000661,True,False,False
1003996,True,False,False
1011075,True,False,False
1000899,True,False,False
1002998,True,False,False
1004166,True,False,False
1001004,True,False,False
1006224,True,False,False
1007983,True,False,False
1005233,True,False,False
1009218,True,False,False
1010736,True,False,False
1002794,True,False,False
1003482,True,False,False
999085,True,False,False
1003479,True,False,False
1010976,True,False,False
1010788,True,False,False
1002594,True,False,False
999974,True,False,False
1004351,True,False,False
P043459,True,False,False
1001270,True,False,False
1010012,True,False,False
1005337,True,False,False
816086,True,False,False
905932,True,False,False
